Address,Name,Date,Latitude,Longitude,CensusBlock,CensusBlockGroup,CensusTract,ISGAS,ISLIQUOR,ISFAST
12706 E Jefferson Ave,Riverside Party Store,5/3/16,42.37019,-82.95646,2006,2,5137,0,1,0
1000 Mack Ave,McDonald's,4/28/16,42.35135,-83.04649,1041,1,5189,0,0,1
14900 E Jefferson Ave,Marathon,4/27/16,42.37467,-82.93885,1000,1,5132,1,0,0
975 Mack Ave,Exxon,4/25/16,42.35198,-83.04722,1036,1,5189,1,0,0
19850 Fenkell St,Fuel Zone,4/25/16,42.40104,-83.2371,2010,2,5434,0,0,0
18403 Grand River Ave,McDonald's,4/18/16,42.40172,-83.22176,1000,1,5429,0,0,1
9800 Grand River Ave,Mobil,4/18/16,42.36928,-83.13944,2014,2,5308,1,0,0
14383 Gratiot Ave,Mike's Fresh Market,4/12/16,42.43665,-82.97889,2016,2,5034,0,0,0
11535 Morang Dr,Sunoco,4/12/16,42.42473,-82.9476,3000,3,5009,1,0,0
6003 W Vernor Hwy,McDonald's,3/21/16,42.31588,-83.10594,1005,1,5232,0,0,1
1781 Fort St,Exxon,3/21/16,42.27633,-83.15435,6005,6,5247,1,0,0
21640 Grand River Ave,McDonald's,3/3/16,42.41575,-83.25559,3005,3,5412,0,0,1
14200 E Jefferson Ave,Perry's Liquor,3/3/16,42.37176,-82.94626,2003,2,5132,0,1,0
16046 Puritan St,Puritan Liquor,3/3/16,42.40887,-83.20529,3012,3,5421,0,1,0
10601 E Outer Dr,BP,1/1/16,42.40582,-82.95972,3015,3,5011,1,0,0
15439 Schoolcraft Ave,Citgo,1/1/16,42.38702,-83.19737,2004,2,5373,1,0,0
8930 W McNichols Rd,Marathon,1/1/16,42.41725,-83.15984,6006,6,5385,1,0,0
14820 E Jefferson Ave,Mobil,1/1/16,42.3743,-82.93964,1001,1,5132,1,0,0
15510 Fenkell St,Mobil,1/1/16,42.40175,-83.19921,2011,2,5422,1,0,0
20000 Joy Rd,Mobil,1/1/16,42.35791,-83.23637,3015,3,5466,1,0,0
2010 E Jefferson Ave,Mobil,1/1/16,42.33617,-83.02637,1033,1,5165,1,0,0
11603 E 7 Mile Rd,Sunoco,1/1/16,42.43477,-83.00419,4011,4,5033,1,0,0
