Company Name,Address,City,State,ZIP Code,Primary SIC Code,Primary SIC Description
Krainz Woods Acad-Med Lab Tech,4327 E 7 Mile Rd,Detroit,MI,48234,824906,Schools-Medical & Dental-Assistants/Tech
Legacy Charter Academy,4900 E Hildale St,Detroit,MI,48234,821103,Schools
Leona Group LLC,1761 Waterman St,Detroit,MI,48209,821103,Schools
Liberian Of Michigan,13300 Puritan St,Detroit,MI,48227,821103,Schools
Lincoln-King Academy,13436 Grove St,Detroit,MI,48235,821103,Schools
Loving Elementary School,1000 Lynn St,Detroit,MI,48211,821103,Schools
Loyola High School,15325 Pinehurst St,Detroit,MI,48238,821103,Schools
Mackenzie Elementary-Middle,10147 W Chicago,Detroit,MI,48204,821103,Schools
Mackenzie High School,9275 Wyoming St,Detroit,MI,48204,821103,Schools
MADISON-Carver Academy,19900 Mcintyre St,Detroit,MI,48219,821103,Schools
Mann Elementary School,19625 Elmira St,Detroit,MI,48228,821103,Schools
Marion Law Academy,19411 Cliff St,Detroit,MI,48234,821103,Schools
Mark Twain Elementary School,12800 Visger St,Detroit,MI,48217,821103,Schools
Martin Luther King High School,3200 E Lafayette St,Detroit,MI,48207,821103,Schools
Mary Mcleod Bethune Elem,8145 Puritan St,Detroit,MI,48238,821103,Schools
Math Savvy,19847 James Couzens Fwy # 1,Detroit,MI,48235,829909,Tutoring
Matrix Center,13560 E Mcnichols Rd,Detroit,MI,48205,821103,Schools
Maybury Elementary School,4410 Porter St,Detroit,MI,48209,821103,Schools
Michigan Educational Sch Svc,17601 James Couzens Fwy,Detroit,MI,48235,821103,Schools
Michigan Technical Academy,19780 Meyers Rd,Detroit,MI,48235,821103,Schools
Modi International School,151 W Adams Ave,Detroit,MI,48226,821103,Schools
Mumford High School,17525 Wyoming St,Detroit,MI,48221,821103,Schools
Munger Elementary-Middle Schl,5525 Martin St,Detroit,MI,48210,821103,Schools
Munger Middle School,5525 Martin St,Detroit,MI,48210,821103,Schools
Nataki Talibah Schoolhouse,19176 Northrop St,Detroit,MI,48219,821103,Schools
National Heritage Academies,13661 Wisconsin St,Detroit,MI,48238,821103,Schools
Neinas Elementary School,6021 Mcmillan St,Detroit,MI,48209,821103,Schools
New Paradigm For Education,2450 S Beatrice St,Detroit,MI,48217,821103,Schools
Nichols Elementary School,3020 Burns St,Detroit,MI,48214,821103,Schools
Noble Elementary Middle School,8646 Fullerton St,Detroit,MI,48238,821103,Schools
Oakland International Academy,4001 Miller St,Detroit,MI,48211,821103,Schools
Oakland International Academy,8228 Conant St,Detroit,MI,48211,821103,Schools
Old Redford Academy,22122 W Mcnichols Rd,Detroit,MI,48219,821103,Schools
Old Redford Academy Elementary,17195 Redford St,Detroit,MI,48219,821103,Schools
Osborn College Prep Academy,11600 E 7 Mile Rd,Detroit,MI,48205,821103,Schools
Osborn High School,11600 E 7 Mile Rd,Detroit,MI,48205,821103,Schools
Palmer Park Prep,3901 Margareta St,Detroit,MI,48221,821103,Schools
Pasteur Elementary School,19811 Stoepel St,Detroit,MI,48221,821103,Schools
Pathways Academy,11322 E Jefferson Ave,Detroit,MI,48214,821103,Schools
Pentecostal Academy,9244 Delmar St,Detroit,MI,48211,821101,Religious Schools
Pershing High School,18875 Ryan Rd,Detroit,MI,48234,821103,Schools
Plymouth Community School,16603 Plymouth Rd,Detroit,MI,48227,821103,Schools
Plymouth Educational Ctr,1460 E Forest Ave,Detroit,MI,48207,839998,Non-Profit Organizations
Plymouth Educational Ctr,7375 Woodward Ave,Detroit,MI,48202,821103,Schools
Priest Elementary-Middle Sch,7840 Wagner St,Detroit,MI,48210,821103,Schools
Pulaski Elementary-Middle Sch,19725 Strasburg St,Detroit,MI,48205,821103,Schools
Randolph Career & Technical,17101 Hubbell St,Detroit,MI,48235,821103,Schools
Regent Park Scholars Academy,15865 E 7 Mile Rd,Detroit,MI,48205,821103,Schools
Renaissance Head Start,16400 W Warren Ave,Detroit,MI,48228,821103,Schools
Renaissance High School,6565 W Outer Dr,Detroit,MI,48235,821103,Schools
Roberto Clemente Learning Acad,1551 Beard St,Detroit,MI,48209,821103,Schools
Robinson Academy,11499 Conner St # 12,Detroit,MI,48213,821103,Schools
Ronald Brown Academy,11450 E Outer Dr,Detroit,MI,48224,821103,Schools
Rutherford Winans Academy,16411 Curtis St,Detroit,MI,48235,821103,Schools
Samson Webber Middle School,4700 Tireman St,Detroit,MI,48204,821103,Schools
Samuel Gompers Elementary,14450 Burt Rd,Detroit,MI,48223,821103,Schools
Schultze Elementary School,10700 Santa Maria St,Detroit,MI,48221,821103,Schools
South Eastern High School,3030 Fairview St,Detroit,MI,48214,821103,Schools
Southwest Detroit Lighthouse,4001 29th St,Detroit,MI,48210,821103,Schools
Southwestern High School,6921 W Fort St,Detroit,MI,48209,821103,Schools
Spain Elementary School,3700 Beaubien St,Detroit,MI,48201,821103,Schools
St Vincent & Sarah Fisher Ctr,16800 Trinity St,Detroit,MI,48219,821103,Schools
Tawheed Center-Detroit School,18624 W Warren Ave,Detroit,MI,48228,821103,Schools
Temple Of Faith Baptist School,9351 Forrer St,Detroit,MI,48228,821101,Religious Schools
Thirkell Elementary School,7724 14th St,Detroit,MI,48206,821103,Schools
Timbuktu Academy Of Science,10800 E Canfield St,Detroit,MI,48214,821103,Schools
Unity Urban Ministerial School,3075 W Grand Blvd,Detroit,MI,48202,821103,Schools
Universal Academy,4833 Ogden St,Detroit,MI,48210,821103,Schools
University Prep Elementary,2251 Antietam Ave,Detroit,MI,48207,821103,Schools
University Prep Science & Math,2664 Franklin St,Detroit,MI,48207,821103,Schools
University Preparatory Academy,5310 Saint Antoine St,Detroit,MI,48202,821103,Schools
University Preparatory Academy,600 Antoinette St,Detroit,MI,48202,874130,Management Services
University Preparatory Academy,957 Holden St,Detroit,MI,48202,821103,Schools
University Prepatory Academy,14669 Curtis St,Detroit,MI,48235,821103,Schools
University Yes Academy,14669 Curtis St,Detroit,MI,48235,999966,Federal Government Contractors
University-Detroit Jesuit High,8400 S Cambridge Ave,Detroit,MI,48221,821101,Religious Schools
UPA Mark Murray Elementary,435 Amsterdam St,Detroit,MI,48202,821103,Schools
Vernor Elementary School,13726 Pembroke Ave,Detroit,MI,48235,821103,Schools
Voyageur Academy,4321 Military St,Detroit,MI,48210,821103,Schools
Voyageur Academy,4366 Military St,Detroit,MI,48210,821103,Schools
Warren Dale Academy,19400 Sawyer St,Detroit,MI,48228,821103,Schools
Way Academy,19321 W Chicago St,Detroit,MI,48228,821103,Schools
Wayne Elementary School,10633 Courville St,Detroit,MI,48224,821103,Schools
Wayne State Univ Deans Ofc,5425 Gullen Mall,Detroit,MI,48202,822113,University-College Dept/Facility/Office
Wayne State University Law Sch,474 Gilmour Mall,Detroit,MI,48202,821103,Schools
West Side Academy Alternative,4701 Mckinley St,Detroit,MI,48208,821103,Schools
Western International High Sch,1500 Scotten St,Detroit,MI,48209,821103,Schools
Weston Preparatory Academy,22930 Chippewa St,Detroit,MI,48219,821103,Schools
Westside Academy High School,4701 Mckinley St,Detroit,MI,48208,821103,Schools
Westside Christian Academy,9540 Bramell,Detroit,MI,48239,821101,Religious Schools
White Elementary School,5161 Charles St,Detroit,MI,48212,821103,Schools
William Beckham Academy,9860 Park Dr,Detroit,MI,48213,821103,Schools
William Caldwell Piano Academy,20547 Prevost St,Detroit,MI,48235,829918,Music Instruction-Instrumental
Winans Academy Performing Arts,9740 Mckinney St,Detroit,MI,48224,821103,Schools
Woodward Academy,14164 Rutland St,Detroit,MI,48227,821103,Schools
YMCA,21605 W 7 Mile Rd,Detroit,MI,48219,832222,Youth Organizations & Centers
