CompanyName,Address,City,State,ZIPCode,PrimarySICCode,PrimarySICDescription,Latitude,Longitude
Mackenzie High School,9275 Wyoming St,Detroit,MI,48204,821103,Schools,42.36305221,-83.15818347
MADISON-Carver Academy,19900 Mcintyre St,Detroit,MI,48219,821103,Schools,42.4374691,-83.2627967
Mann Elementary School,19625 Elmira St,Detroit,MI,48228,821103,Schools,42.36942498,-83.23435916
Marion Law Academy,19411 Cliff St,Detroit,MI,48234,821103,Schools,42.43747876,-83.02877945
Mark Twain Elementary School,12800 Visger St,Detroit,MI,48217,821103,Schools,42.2698486,-83.1626155
Martin Luther King High School,3200 E Lafayette St,Detroit,MI,48207,821103,Schools,42.344197,-83.0145933
Mary Mcleod Bethune Elem,8145 Puritan St,Detroit,MI,48238,821103,Schools,42.40970303,-83.15149222
Math Savvy,19847 James Couzens Fwy # 1,Detroit,MI,48235,829909,Tutoring,42.43743035,-83.19428858
Matrix Center,13560 E Mcnichols Rd,Detroit,MI,48205,821103,Schools,42.4264258,-82.9846775
Maybury Elementary School,4410 Porter St,Detroit,MI,48209,821103,Schools,42.3163646,-83.0938935
Michigan Educational Sch Svc,17601 James Couzens Fwy,Detroit,MI,48235,821103,Schools,42.4214749,-83.1772279
Michigan Technical Academy,19780 Meyers Rd,Detroit,MI,48235,821103,Schools,42.43735628,-83.17086036
Modi International School,151 W Adams Ave,Detroit,MI,48226,821103,Schools,42.3356909,-83.0533336
Mumford High School,17525 Wyoming St,Detroit,MI,48221,821103,Schools,42.4214012,-83.1632882
Munger Elementary-Middle Schl,5525 Martin St,Detroit,MI,48210,821103,Schools,42.33791808,-83.13253891
Munger Middle School,5525 Martin St,Detroit,MI,48210,821103,Schools,42.33791808,-83.13253891
Nataki Talibah Schoolhouse,19176 Northrop St,Detroit,MI,48219,821103,Schools,42.4301261,-83.2615076
National Heritage Academies,13661 Wisconsin St,Detroit,MI,48238,821103,Schools,42.38740652,-83.15614903
Neinas Elementary School,6021 Mcmillan St,Detroit,MI,48209,821103,Schools,42.3171943,-83.1071196
New Paradigm For Education,2450 S Beatrice St,Detroit,MI,48217,821103,Schools,42.26953947,-83.15376017
Nichols Elementary School,3020 Burns St,Detroit,MI,48214,821103,Schools,42.36563158,-82.99777691
Noble Elementary Middle School,8646 Fullerton St,Detroit,MI,48238,821103,Schools,42.3819067,-83.1550328
Oakland International Academy,4001 Miller St,Detroit,MI,48211,821103,Schools,42.390689,-83.04108602
Oakland International Academy,8228 Conant St,Detroit,MI,48211,821103,Schools,42.3894372,-83.0430122
Old Redford Academy,22122 W Mcnichols Rd,Detroit,MI,48219,821103,Schools,42.41482753,-83.2589371
Old Redford Academy Elementary,17195 Redford St,Detroit,MI,48219,821103,Schools,42.41545668,-83.26085659
Osborn College Prep Academy,11600 E 7 Mile Rd,Detroit,MI,48205,821103,Schools,42.4343361,-83.00468627
Osborn High School,11600 E 7 Mile Rd,Detroit,MI,48205,821103,Schools,42.4343361,-83.00468627
Palmer Park Prep,3901 Margareta St,Detroit,MI,48221,821103,Schools,42.42796094,-83.13852953
Pasteur Elementary School,19811 Stoepel St,Detroit,MI,48221,821103,Schools,42.4378718,-83.1433152
Pathways Academy,11322 E Jefferson Ave,Detroit,MI,48214,821103,Schools,42.36666845,-82.97104995
Pentecostal Academy,9244 Delmar St,Detroit,MI,48211,821101,Religious Schools,42.3888558,-83.0709889
Pershing High School,18875 Ryan Rd,Detroit,MI,48234,821103,Schools,42.43153813,-83.06311678
Plymouth Community School,16603 Plymouth Rd,Detroit,MI,48227,821103,Schools,42.3720917,-83.2098445
Plymouth Educational Ctr,1460 E Forest Ave,Detroit,MI,48207,839998,Non-Profit Organizations,42.35999405,-83.04898427
Plymouth Educational Ctr,7375 Woodward Ave,Detroit,MI,48202,821103,Schools,42.3709292,-83.0743979
Priest Elementary-Middle Sch,7840 Wagner St,Detroit,MI,48210,821103,Schools,42.3374243,-83.1444725
Pulaski Elementary-Middle Sch,19725 Strasburg St,Detroit,MI,48205,821103,Schools,42.44044833,-82.99884444
Randolph Career & Technical,17101 Hubbell St,Detroit,MI,48235,821103,Schools,42.41646103,-83.18964512
Regent Park Scholars Academy,15865 E 7 Mile Rd,Detroit,MI,48205,821103,Schools,42.43568519,-82.95742338
Renaissance Head Start,16400 W Warren Ave,Detroit,MI,48228,821103,Schools,42.3441827,-83.2059244
Renaissance High School,6565 W Outer Dr,Detroit,MI,48235,821103,Schools,42.4181566,-83.1908775
Roberto Clemente Learning Acad,1551 Beard St,Detroit,MI,48209,821103,Schools,42.3095251,-83.1163555
Robinson Academy,11499 Conner St # 12,Detroit,MI,48213,821103,Schools,42.41758853,-83.01175615
Ronald Brown Academy,11450 E Outer Dr,Detroit,MI,48224,821103,Schools,42.3979868,-83.2553239
Rutherford Winans Academy,16411 Curtis St,Detroit,MI,48235,821103,Schools,42.4220381,-83.2097457
Samson Webber Middle School,4700 Tireman St,Detroit,MI,48204,821103,Schools,42.3544449,-83.1182891
Samuel Gompers Elementary,14450 Burt Rd,Detroit,MI,48223,821103,Schools,42.39259009,-83.24672865
Schultze Elementary School,10700 Santa Maria St,Detroit,MI,48221,821103,Schools,42.4194318,-83.1683193
South Eastern High School,3030 Fairview St,Detroit,MI,48214,821103,Schools,42.3750828,-82.9779514
Southwest Detroit Lighthouse,4001 29th St,Detroit,MI,48210,821103,Schools,42.3346276,-83.1094745
Southwestern High School,6921 W Fort St,Detroit,MI,48209,821103,Schools,42.30378691,-83.10995897
Spain Elementary School,3700 Beaubien St,Detroit,MI,48201,821103,Schools,42.35043152,-83.05280958
St Vincent & Sarah Fisher Ctr,16800 Trinity St,Detroit,MI,48219,821103,Schools,42.4139187,-83.2482624
Tawheed Center-Detroit School,18624 W Warren Ave,Detroit,MI,48228,821103,Schools,42.3435732,-83.2225234
Temple Of Faith Baptist School,9351 Forrer St,Detroit,MI,48228,821101,Religious Schools,42.36392983,-83.20051798
Thirkell Elementary School,7724 14th St,Detroit,MI,48206,821103,Schools,42.36611793,-83.09690322
Timbuktu Academy Of Science,10800 E Canfield St,Detroit,MI,48214,821103,Schools,42.38091154,-82.98666621
Unity Urban Ministerial School,3075 W Grand Blvd,Detroit,MI,48202,821103,Schools,42.3704826,-83.0749144
Universal Academy,4833 Ogden St,Detroit,MI,48210,821103,Schools,42.3275496,-83.1450783
University Prep Elementary,2251 Antietam Ave,Detroit,MI,48207,821103,Schools,42.3480205,-83.0305495
University Prep Science & Math,2664 Franklin St,Detroit,MI,48207,821103,Schools,42.33710852,-83.02110447
University Preparatory Academy,5310 Saint Antoine St,Detroit,MI,48202,821103,Schools,42.3624087,-83.0580042
University Preparatory Academy,600 Antoinette St,Detroit,MI,48202,874130,Management Services,42.36260394,-83.07305306
University Preparatory Academy,957 Holden St,Detroit,MI,48202,821103,Schools,42.36212066,-83.07725355
University Prepatory Academy,14669 Curtis St,Detroit,MI,48235,821103,Schools,42.4225451,-83.191587
University Yes Academy,14669 Curtis St,Detroit,MI,48235,999966,Federal Government Contractors,42.4225451,-83.191587
University-Detroit Jesuit High,8400 S Cambridge Ave,Detroit,MI,48221,821101,Religious Schools,42.4331426,-83.1543207
UPA Mark Murray Elementary,435 Amsterdam St,Detroit,MI,48202,821103,Schools,42.3654886,-83.0732115
Vernor Elementary School,13726 Pembroke Ave,Detroit,MI,48235,821103,Schools,42.43835592,-83.18230317
Voyageur Academy,4321 Military St,Detroit,MI,48210,821103,Schools,42.33212837,-83.11968303
Voyageur Academy,4366 Military St,Detroit,MI,48210,821103,Schools,42.3328899,-83.1196757
Warren Dale Academy,19400 Sawyer St,Detroit,MI,48228,821103,Schools,42.34695492,-83.2306705
Way Academy,19321 W Chicago St,Detroit,MI,48228,821103,Schools,42.36472402,-83.2302476
Wayne Elementary School,10633 Courville St,Detroit,MI,48224,821103,Schools,42.41599684,-82.95590686
Wayne State Univ Deans Ofc,5425 Gullen Mall,Detroit,MI,48202,822113,University-College Dept/Facility/Office,42.37478762,-83.07771982
