CompanyName,Address,City,State,Zip,PrimarySICCode,PrimarySICDescription,SICCode1,SICCode1Description,Latitude,Longitude,CensusBlock,CensusBlockGroup,CensusTract
Toy Box 2,24351 W Mcnichols Rd,Detroit,MI,48219,581303,Cocktail Lounges,581303,Cocktail Lounges,42.4141411,-83.280699,3003,3,5443
Traffic Jam & Snug,511 W Canfield St,Detroit,MI,48201,581208,Restaurants,581208,Restaurants,42.35128962,-83.06546959,1003,1,5203
Varsity Lounge,8867 Livernois Ave,Detroit,MI,48204,581301,Bars,581301,Bars,42.3603634,-83.1388002,2026,2,5345
Verdell's Lounge,14826 Plymouth Rd,Detroit,MI,48227,581303,Cocktail Lounges,581303,Cocktail Lounges,42.3729779,-83.1906004,5011,5,5353
Vertical Detroit,1538 Centre St,Detroit,MI,48226,581301,Bars,581301,Bars,42.33628975,-83.0470576,2035,2,5172
Vicki's Bar & Grill,19205 Schoolcraft,Detroit,MI,48223,581301,Bars,581301,Bars,42.38632173,-83.22973526,1010,1,5427
Wall Street Lounge LLC,18458 James Couzens Fwy,Detroit,MI,48235,581301,Bars,581301,Bars,42.426452,-83.1812788,3012,3,5394
Warrendale Bar,17621 W Warren Ave,Detroit,MI,48228,581301,Bars,581301,Bars,42.3431187,-83.2139344,5001,5,5456
West Fort Bar & Grill,7642 W Fort St,Detroit,MI,48209,581301,Bars,581301,Bars,42.30156387,-83.11593802,1007,1,5249
Woodbridge Pub,5169 Trumbull St,Detroit,MI,48208,581208,Restaurants,581208,Restaurants,42.3539854,-83.08022,3009,3,5219
Woodward Cocktail Bar,6426 Woodward Ave,Detroit,MI,48202,581301,Bars,581301,Bars,42.3689748,-83.0720135,1029,1,5119
Works Club & Grill,1846 Michigan Ave,Detroit,MI,48216,581301,Bars,581301,Bars,42.33148466,-83.0712431,1042,1,5214
Ziggy's Bar & Grill,16390 E Warren Ave,Detroit,MI,48224,581301,Bars,581301,Bars,42.4027876,-82.937877,2003,2,5018
